Position ,Total years of experience,Seniority level,Yearly brutto salary (without bonus and stocks) in EUR,Employment status,Сontract duration,Company size,Company type,"Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",Programming languages,Frameworks / Libs,Databases,Design,Clouds,Platform,DevOps tools
Software Engineer,12,Lead,108000,Self-employed (freelancer),Unlimited contract,0-10,Consulting / Agency,,PHP; ,,,,,,
Backend Developer,8,Senior,95000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Frontend Developer,1,Junior,37500,Full-time employee,Temporary contract,0-10,Startup,,JavaScript; ,,,,,,
iOS Developer,10,Middle,67000,Full-time employee,Unlimited contract,1000+,Product,500,Swift; ,,,,,,
Banker,12,Senior,100000,Full-time employee,Unlimited contract,101-1000,Bank,,No info,No info,No info,No info,No info,No info,No info
Data Engineer,9,Senior,81000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Backend Developer,11,Senior,35000,Founder,Unlimited contract,0-10,Startup,,JavaScript; ,,,,,,
Cloud Engineer,15,Senior,72000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Product Manager,7,Middle,72000,Full-time employee,Unlimited contract,101-1000,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,4,Junior,42000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Solutions architect,14,Head,95000,Full-time employee,Unlimited contract,101-1000,Startup,400,,,,,,,
Backend Developer,12,Senior,67000,Full-time employee,Unlimited contract,101-1000,,,PHP; ,,,,,,
Backend Developer,5,Middle,64000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Stuttgart,2,Junior,52000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Mobile Developer,14,Senior,60000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,,,,,,Android; ,
Backend Developer,9,Senior,85000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Frontend Developer,14,Senior,84000,Full-time employee,Unlimited contract,1000+,IT Department of established business,,,Angular; ,,,,,
Senior Program Manager,19,Senior,123600,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
Software Engineer,6,Middle,49000,Full-time employee,Unlimited contract,51-100,Startup,,C#; ,,,,,,
QA Engineer,9,Middle,57000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
QA Engineer,18,Lead,78000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Backend Developer,12,Senior,70000,Full-time employee,Unlimited contract,101-1000,Telecommunications,675,Java; ,,,,,,
Frontend Developer,5,Middle,57000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; TypeScript; ,Angular; ,,,,,
Backend Developer,7,Senior,72000,Full-time employee,Unlimited contract,011-050,Product,,,,,,,,
Product Manager,10,Lead,120000,Full-time employee,Unlimited contract,1000+,Product,2000,No info,No info,No info,No info,No info,No info,No info
Software Engineer,10,Senior,26400,Self-employed (freelancer),Unlimited contract,0-10,Startup,,,.NET; ,,,,,
Frontend Developer,8,Senior,68000,Full-time employee,,,,,JavaScript; ,,,,,,
QA Engineer,6.5,Senior,58000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
ML Engineer,10,Lead,92000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Python; ,,,,,,
ML Engineer,20,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
DB developer/Data analyst,6,Senior,55000,Full-time employee,Unlimited contract,011-050,Product,,T-SQL; ,,,,,,
Software Engineer,12,Senior,73000,Full-time employee,Unlimited contract,51-100,Product,,Java; ,,,,,,
QA Engineer,9,Senior,62000,Full-time employee,Unlimited contract,101-1000,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,11,Senior,55000,Full-time employee,Unlimited contract,011-050,Startup,,Kotlin; ,,,,,,
Software Engineer,9,Lead,90000,Full-time employee,Unlimited contract,101-1000,Product,No,JavaScript; ,,,,,,
Backend Developer,21,Senior,80000,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
Security Engineer,10,Senior,85000,Full-time employee,Unlimited contract,1000+,Product,No,Python; ,,,,,,
Software Engineer,25,Lead,75000,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
DevOps,6,Middle,62000,Full-time employee,Unlimited contract,1000+,Media,,Java; ,,,,,,
Backend Developer,7,Senior,60000,Full-time employee,Unlimited contract,011-050,Startup,,PHP; ,,,,,,
Software Engineer,12,Senior,66800,Full-time employee,Unlimited contract,51-100,Product,1000,,,,,,iOS; ,
Software Engineer,25,Senior,55000,Full-time employee,Unlimited contract,51-100,Product,,C#; Pascal; VB; VB.NET; ,.NET; ,,,,,
Business Analyst,10,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
ML Engineer,12,Senior,90000,Full-time employee,Unlimited contract,1000+,Product,500,Python; ,,,,,,
Backend Developer,7,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Data Engineer,7.5,Middle,68000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
DBA,17,Senior,64000,Full-time employee,Unlimited contract,101-1000,Product,500,,,,,,,
Backend Developer,7,Senior,72000,Full-time employee,Unlimited contract,011-050,Product,0,Ruby; ,,,,,,
DevOps,12,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,1000,Java; ,,,,,,
Support Engineer,10,Senior,63500,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Frontend Developer,12,Middle,70000,Full-time employee,Unlimited contract,101-1000,E-commerce,No,JavaScript; ,,,,,,
Frontend Developer,10,Senior,68000,Full-time employee,Unlimited contract,011-050,Startup,0,,React; Angular; ,,,,,
Software Engineer,12,Lead,78000,Full-time employee,Unlimited contract,1000+,Product,0,,.NET; ,,,,,
Software Engineer,8,Senior,75000,Full-time employee,Unlimited contract,101-1000,Startup,1500,Elixir; ,,,,,,
Software Engineer,13,Lead,89570,Full-time employee,Unlimited contract,1000+,Product,500,Java; ,,,,,,
Software Engineer,9,Senior,78000,Full-time employee,Unlimited contract,101-1000,Product,,Kotlin; ,,,,,,
Mobile Developer,7,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,iOS; ,
Backend Developer,15,Senior,70000,Full-time employee,Unlimited contract,51-100,Product,,Elixir; ,,,,,,
Software Engineer,5,Middle,67000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; TypeScript; ,NodeJS; ,,,AWS; ,,
Software Engineer,15,Senior,85000,Full-time employee,Unlimited contract,1000+,Product,,Scala; ,,,,,,
Software Engineer,22,Senior,76000,Full-time employee,Unlimited contract,51-100,Startup,,Erlang; ,,,,,,
Frontend Developer,9,Middle,66000,Full-time employee,Unlimited contract,101-1000,Product,,TypeScript; ,,,,,,
Consultant,4,Middle,65000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,JavaScript; ,,,,,,
Software Engineer,1,Middle,130000,Full-time employee,Unlimited contract,1000+,Product,,Scala; ,,,,,,
Software Engineer,14,Senior,80000,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
Software Engineer,14,Senior,68000,Full-time employee,Unlimited contract,51-100,Product,500,PHP; ,,,,,,
Software Engineer,4,Junior,46000,Full-time employee,Unlimited contract,0-10,Product,,C#; ,,,,,,
Software Engineer,15,Senior,56400,Full-time employee,Unlimited contract,011-050,Product,,C#; ,,,,,,
Backend Developer,11,Senior,81200,Full-time employee,Unlimited contract,1000+,Product,,PHP; ,,,,,,
Recruiter,11,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,1500,No info,No info,No info,No info,No info,No info,No info
Backend Developer,7,Senior,65000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,12,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,1000,Golang; ,,,,,,
Testautomation,8,Senior,60000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,500,Java; JavaScript; ,,,,,,
Mobile Developer,5,Middle,55000,Full-time employee,Unlimited contract,011-050,Product,,Objective-C; ,,,,,,
Software Engineer,10,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Ruby; ,,,,,,
Data Scientist,2,Middle,54000,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
QA Engineer,9,Senior,76000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
Software Engineer,10,Senior,76000,Full-time employee,Unlimited contract,101-1000,Product,,C++; ,,,,,,
Data Scientist,2.5,Lead,20000,Full-time employee,Unlimited contract,1000+,Bank,,Python; ,,,,,,
Software Engineer,7,Senior,80000,Full-time employee,Unlimited contract,011-050,Startup,,TypeScript; ,,,,,,
Software Engineer,10,Senior,78000,Full-time employee,Unlimited contract,51-100,Product,,C#; ,,,,,,
Backend Developer,4,Senior,65000,Full-time employee,Unlimited contract,51-100,Product,,Ruby; ,,,,,,
Software Engineer,22,Senior,46000,Full-time employee,Unlimited contract,0-10,Product,1500,C++; C#; ,,,,,,
Backend Developer,8,Middle,65000,Full-time employee,Unlimited contract,101-1000,Product,,Golang; ,,,,,,
Software Engineer,5,Senior,67000,Self-employed (freelancer),Unlimited contract,0-10,Startup,,C++; ,,,,,,
Support Engineer,,Senior,61000,Full-time employee,Unlimited contract,,,100,No info,No info,No info,No info,No info,No info,No info
Data Scientist,2,Middle,48000,Full-time employee,Unlimited contract,011-050,Product,,Python; ,,,,,,
SAP Developer,9,Senior,70800,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,ABAP; ,,,,,,
Frontend Developer,3,Senior,70000,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; TypeScript; ,,,,,,
Software Engineer,3,Middle,48000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Python; ,,,,,,
Mobile Developer,8,Senior,65400,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Java; Kotlin; ,,,,,,
Backend Developer,18,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,0,PHP; ,,,,,,
Software Engineer,5,Senior,71000,Full-time employee,Unlimited contract,1000+,Product,,TypeScript; ,Angular; ,,,,,
Software Engineer,5,Senior,65000,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
Systemadministrator,20,Senior,44000,Full-time employee,Unlimited contract,011-050,Systemhaus,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,3,Middle,27000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,PHP; ,,,,,,
DevOps,9,Lead,90000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,Kubernetes; 
Software Engineer,6,Middle,60000,Full-time employee,Unlimited contract,101-1000,Product,,,.NET; ,,,,,
SW Architect,8,Senior,73000,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Software Engineer,15,Senior,67500,Full-time employee,Unlimited contract,1000+,Product,,ABAP; ,,,,,,
SRE,6,Middle,66000,Full-time employee,Unlimited contract,1000+,Product,0,,,,,,,Kubernetes; 
Software Engineer,8,Lead,80000,Full-time employee,Unlimited contract,101-1000,Product,500,JavaScript; ,,,,,,
Software Engineer,5,,55000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,No info,No info,No info,No info,No info,No info,No info
Backend Developer,5,Middle,55000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,13,Senior,75000,Full-time employee,Unlimited contract,1000+,Product,600,Ruby; ,,,,,,
Backend Developer,5,Senior,60000,,,,,,Java; ,,,,,,
QA Engineer,7,Middle,54500,Full-time employee,Unlimited contract,011-050,Consulting / Agency,1500,No info,No info,No info,No info,No info,No info,No info
Software Engineer,22,Senior,72000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
"Fullstack engineer, ну или Software engineer",9,Senior,60000,Full-time employee,Unlimited contract,0-10,Startup,,TypeScript; ,React; ,,,,,
Backend Developer,11,Senior,85000,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
Software Engineer,9,Lead,75000,Full-time employee,Unlimited contract,1000+,Startup,No,Java; ,,,,,,
HiWi,3,Junior,10164,Part-time employee,Temporary contract,011-050,University,,Python; ,,,,,,
Backend Developer,4,Senior,65000,Full-time employee,Unlimited contract,101-1000,Product,,Golang; ,,,,,,
Software Engineer,11,Middle,75000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,28,Senior,78500,Full-time employee,Unlimited contract,51-100,Product,,C#; ,,,,,,
Product Manager,5,Senior,56000,Full-time employee,Unlimited contract,101-1000,Product,No,No info,No info,No info,No info,No info,No info,No info
Data Engineer,12,Senior,68000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,0,No info,No info,No info,No info,No info,No info,No info
Software Engineer,12,Senior,83000,Full-time employee,Unlimited contract,1000+,Product,40,Java; ,,,,,,
Software Engineer,4,Junior,53000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,8,Lead,65000,Part-time employee,Unlimited contract,0-10,Product,10000,Python; ,,,,,,
Software Engineer,10,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,500,,,,,,iOS; ,
Software Engineer,10,Senior,68500,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Frontend Developer,8,Middle,45000,Full-time employee,Unlimited contract,51-100,Product,,,Angular; ,,,,,
Backend Developer,2,Middle,12000,,,,,,PHP; ,,,,,,
Backend Developer,5,Middle,72000,Full-time employee,Unlimited contract,011-050,Product,,Ruby; ,,,,,,
Software Engineer,15,Lead,80000,Full-time employee,Unlimited contract,1000+,Product,750,Java; ,,,,,,
Software Engineer,10,Senior,68000,Full-time employee,Temporary contract,011-050,Startup,,,,,,,,
Software Engineer,4,Middle,24000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,0,,,,,,,
Software Engineer,19,Lead,95500,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,14,Senior,72000,Full-time employee,Unlimited contract,101-1000,Product,,C++; ,,,,,,
Software Engineer,7,Senior,72000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,TypeScript; ,,,,,,
Mobile Developer,3,Middle,65000,Full-time employee,Unlimited contract,101-1000,Startup,,Kotlin; ,,,,,,
Software Engineer,3,Middle,77600,Full-time employee,Unlimited contract,1000+,Product,1000,C++; Java; ,,,,,,
Software Engineer,13,Lead,95000,Full-time employee,Unlimited contract,51-100,Startup,0,Python; Scala; ,,,,,,
Software Engineer,7,Senior,50400,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Backend Developer,5,Middle,80000,Full-time employee,Unlimited contract,1000+,Startup,,Java; ,,,,,,
Backend Developer,2,Middle,13000,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Project manager,20,Middle,130000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,300,No info,No info,No info,No info,No info,No info,No info
Software Engineer,5,Middle,14712,Full-time employee,Unlimited contract,101-1000,Product,0,C; ,,,,,,
Product Manager,5,Senior,70000,Full-time employee,,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
QA Engineer,11,Senior,74400,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,15,Senior,70000,Full-time employee,Temporary contract,011-050,Startup,,Java; ,,,,,,
Backend Developer,10,Senior,82000,Full-time employee,Unlimited contract,51-100,Product,500,Java; Scala; ,,,,,,
Data Scientist,4,Senior,85000,Full-time employee,Unlimited contract,1000+,consumer goods,no,Python; ,,,,,,
Security Engineer,5,Lead,80000,Full-time employee,Unlimited contract,101-1000,Startup,0,No info,No info,No info,No info,No info,No info,No info
Software Engineer,4,Middle,70500,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Software Engineer,11,Lead,75000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Data Scientist,3,Middle,58000,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
Software Engineer,29,Lead,28800,Full-time employee,Unlimited contract,011-050,IT-Outsourcing,0,C++; ,,,,,,
Designer (UI/UX),15,Middle,53000,Full-time employee,Unlimited contract,1000+,Product,180€,No info,No info,No info,No info,No info,No info,No info
Architect,10,Middle,89000,Full-time employee,Unlimited contract,101-1000,,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,11,Senior,66000,Full-time employee,Unlimited contract,101-1000,Product,500,Python; ,,,,,,
Backend Developer,10,Senior,80000,Full-time employee,Unlimited contract,101-1000,Product,,Ruby; ,,,,,,
Mobile Developer,8,Lead,75000,Full-time employee,Unlimited contract,011-050,Startup,0,Swift; ,,,,,,
Frontend Developer,3,Middle,44000,Full-time employee,Unlimited contract,51-100,Product,0,JavaScript; ,,,,,,
Software Engineer,8,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,9,Senior,60000,Full-time employee,Unlimited contract,011-050,Product,0,PHP; ,,,,,,
Designer (UI/UX),2,Middle,70000,Full-time employee,Temporary contract,0-10,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,8,Senior,76900,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Technical Lead,10,Lead,85000,Full-time employee,Unlimited contract,1000+,Startup,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,8,Middle,27000,Full-time employee,Temporary contract,51-100,Product,0,,,,,,,
Frontend Developer,4,Middle,55000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; TypeScript; ,,,,,,
Software Engineer,4,Lead,95000,Full-time employee,Unlimited contract,1000+,Startup,0,Java; ,,,,,,
Software Engineer,4,Middle,56000,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Software Engineer,3,Middle,60000,Full-time employee,Unlimited contract,101-1000,Startup,,JavaScript; ,,,,,,
Software Engineer,2,Middle,58000,Full-time employee,Unlimited contract,1000+,Product,No,Java; ,,,,,,
Mobile Developer,9,Senior,72000,Full-time employee,Unlimited contract,1000+,Product,600,,,,,,Android; ,
Backend Developer,4,Middle,46000,Full-time employee,Unlimited contract,51-100,Startup,,PHP; ,,,,,,
DevOps,15,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Backend Developer,20,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,300,,.NET; ,,,,,
Frontend Developer,8,Senior,105000,Full-time employee,Unlimited contract,1000+,Startup,,TypeScript; ,React; ,,,,,
Software Engineer,2,Junior,50000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Mobile Developer,7,Senior,63000,Full-time employee,Unlimited contract,1000+,Product,1100,Kotlin; ,,,,,,
QA Engineer,4,Middle,52000,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info,No info,No info,No info,No info,No info
Mobile Developer,3,Lead,65000,Full-time employee,Unlimited contract,51-100,Startup,,Swift; ,,,,,,
Backend Developer,3,Middle,60000,Full-time employee,Unlimited contract,011-050,,,No info,No info,No info,No info,No info,No info,No info
ML Engineer,4,Middle,62000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Tech Lead / Full-Stack,5,Lead,90000,Full-time employee,Unlimited contract,011-050,Startup,0,JavaScript; Python; ,React; ,,,,,
Frontend Developer,8,Senior,69000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; TypeScript; ,,,,,,
Software Engineer,10,Senior,88000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
DevOps,11,Senior,81000,Full-time employee,Unlimited contract,101-1000,Startup,0,,,,,,,
Frontend Developer,2,Middle,18700,Full-time employee,Unlimited contract,1000+,Product,0,JavaScript; ,,,,,,
Marketing Analyst,7,Middle,60000,Full-time employee,Unlimited contract,101-1000,Startup,0,,,,,,,
Software Engineer,5,Middle,56000,Full-time employee,Unlimited contract,011-050,Product,500,PHP; ,,,,,,
Frontend Developer,7,Senior,55000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Mobile Developer,10,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,0,Swift; ,,,,,,
CTO,10,CTO,200000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
Solutions Architect,6,Middle,100000,Full-time employee,Unlimited contract,1000+,Product,400,,Apache Spark; ,,,,,
Backend Developer,3,Junior,48000,Full-time employee,Temporary contract,1000+,Game Company,,C#; ,,,,,,
Software Engineer,3,Junior,30000,Full-time employee,Unlimited contract,011-050,Product,,Java; ,,,,,,
Software Engineer,3,Middle,21120,Full-time employee,Temporary contract,011-050,Product,,,.NET; ,,,,,
QA Engineer,6,Senior,67500,Full-time employee,Unlimited contract,1000+,Product,,Ruby; ,,,,,,
Data Scientist,2,Middle,48000,Full-time employee,Temporary contract,1000+,Product,,Python; ,,,,,,
Frontend Developer,2,Middle,64000,Full-time employee,Unlimited contract,101-1000,Startup,,JavaScript; ,,,,,,
Software Engineer,23,Senior,90000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,C#; ,,,,,,
Senior Network&Security Eng.,,Senior,68500,Full-time employee,Unlimited contract,1000+,Startup,0,,,,,,,
Software tester ,12,No level ,47500,Part-time employee,Unlimited contract,51-100,Product,0,Java; ,,,,,,
Fullstack Developer,8,Senior,57000,Full-time employee,Unlimited contract,51-100,Product,,C#; ,,,,,,
Frontend Developer,5,Senior,45600,Full-time employee,Unlimited contract,0-10,Consulting / Agency,,JavaScript; ,,,,,,
Software Engineer,,Senior,90000,Full-time employee,Unlimited contract,1000+,Product,180,Java; ,,,,,,
Backend Developer,2,Junior,50000,Self-employed (freelancer),Unlimited contract,101-1000,Product,,Elixir; ,,,,,,
SAP BW Senior Consultant ,11,Senior,75000,Full-time employee,Unlimited contract,1000+,Financial ,,ABAP; ,,,,,,
Software Engineer,10,Lead,62000,Full-time employee,Unlimited contract,51-100,Product,,Golang; PHP; ,,,,,,
Mobile Developer,5,Senior,45000,Full-time employee,Unlimited contract,011-050,Product,,Swift; ,,,,,,
Software Engineer,16,Senior,83000,Full-time employee,Unlimited contract,1000+,Startup,700,ABAP; ,,,,,,
Software Engineer,12,Senior,66300,Full-time employee,Unlimited contract,101-1000,Product,2000,Java; ,,,,,,
Software Engineer,6,Middle,65000,Full-time employee,Unlimited contract,1000+,Startup,500,Java; ,,,,,,
Software Engineer,13,Lead,85000,Full-time employee,Unlimited contract,1000+,Product,600,Kotlin; ,,,,,,
QA Manager ,9,Middle,60000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,No,,,,,,,
Software Engineer,9,Senior,60000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,No,,,,,,,
Software Engineer,14,Senior,95000,Full-time employee,Unlimited contract,1000+,Product,0,C; ,,,,,,
Director of Engineering,10,Director,100000,Full-time employee,Unlimited contract,1000+,Product,0,PHP; ,,,,,,
IT Spezialist,15,Senior,79300,Full-time employee,Unlimited contract,1000+,Product,,,,,,AWS; ,,
Product Manager,,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,5,Middle,48000,Full-time employee,Unlimited contract,0-10,Consulting / Agency,0,C#; ,.NET; ,,,,,
Software Engineer,6,Middle,60000,Full-time employee,Unlimited contract,101-1000,E-commerce,0,PHP; ,,,,,,
Software Engineer,4,Middle,34000,Full-time employee,Temporary contract,0-10,Product,,PHP; ,,,,,,
QA Engineer,11,Middle,57000,Full-time employee,Unlimited contract,101-1000,Startup,0,JavaScript; ,,,,,,
,,,99999999999,,,,,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,12,Middle,54000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Software Engineer,10,Senior,60000,Full-time employee,Unlimited contract,011-050,Product,,,.NET; ,,,,,
Mobile Developer,7,Senior,65000,Full-time employee,Unlimited contract,101-1000,Startup,,,,,,,Android; ,
Software Engineer,15,Senior,80000,Full-time employee,Unlimited contract,51-100,Corporation,,JavaScript; ,,,,,,
Frontend Developer,4,Middle,60000,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; TypeScript; ,,,,,,
Frontend Developer,6,Senior,66000,Full-time employee,Unlimited contract,,,,JavaScript; ,,,,,,
Software Engineer,3,Middle,60000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Software Engineer,10,Senior,75000,Full-time employee,Unlimited contract,1000+,Product,,,.NET; ,,,,,
Engineering Manager,10,Middle,85000,Full-time employee,Unlimited contract,101-1000,Product,700,JavaScript; ,,,,,,
Frontend Developer,2,Junior,47000,Full-time employee,Unlimited contract,1000+,Publishing and Technology,,JavaScript; ,,,,,,
ML Engineer,4,Junior,62000,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Designer (UI/UX),6,Middle,56000,Full-time employee,Unlimited contract,011-050,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,1.5,Junior,50000,Full-time employee,Unlimited contract,51-100,Startup,1200,JavaScript; ,,,,,,
Software Engineer,17,Senior,75000,Full-time employee,Unlimited contract,101-1000,Startup,,Golang; ,,,,,,
Product Manager,13,Head,90000,Full-time employee,Unlimited contract,1000+,Product,300,No info,No info,No info,No info,No info,No info,No info
Software Engineer,6,Middle,82000,Full-time employee,Unlimited contract,1000+,Product,1300,Java; ,,,,,,
Software Engineer,8,Middle,75000,Full-time employee,Unlimited contract,1000+,Product,0,PHP; ,,,,,,
Software Architect,18,Head,156000,Self-employed (freelancer),Unlimited contract,011-050,Startup,,Golang; ,,,,,,
Software Engineer,5,Middle,53000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Backend Developer,14,Senior,77000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Manager,11,Head,180000,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Software Engineer,10,Middle,55000,Full-time employee,Unlimited contract,101-1000,Product,,C#; ,,,,,,
Software Engineer,10,Lead,82000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
Data Scientist,15,Head,100000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
ML Engineer,3,Lead,70000,Full-time employee,Unlimited contract,011-050,Startup,,Python; ,,,,,,
Data Scientist,1,,57600,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Python; ,,,,,,
Data Scientist,2,Junior,47000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Python; ,,,,,,
Software Engineer,10,Senior,70000,Full-time employee,Unlimited contract,011-050,Startup,,Java; ,,,,,,
Software Engineer,9,Lead,100000,Full-time employee,Unlimited contract,51-100,Product,No,Java; ,,,,,,
Software Engineer,11,Senior,65000,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Mobile Developer,10,Senior,80000,Full-time employee,Unlimited contract,1000+,Product,1750,Swift; ,,,,,,
Data Scientist,2,Middle,54000,Full-time employee,Unlimited contract,1000+,Market Research ,,Python; ,,,,,,
Consultant ,21,Senior,72000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,0,Java; ,,,,,,
Frontend Developer,14,Senior,78000,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,,,,,,
Software Engineer,9,Senior,60000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,JavaScript; TypeScript; ,,,,,,
DevOps,1,Middle,60000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Java; ,,,,,,
Mobile Developer,1,Junior,50000,Full-time employee,Unlimited contract,011-050,Startup,0,Java; Kotlin; ,,,,,,
Software Engineer,12,Lead,120000,Full-time employee,Unlimited contract,101-1000,Product,0,Golang; ,,,,,,
